지점,일시,1시간평균 미세먼지농도(㎍/㎥)
201,2019-01-23 21:00,41
201,2019-01-23 22:00,39
201,2019-01-23 23:00,37
201,2019-01-24 00:00,33
201,2019-01-24 01:00,30
201,2019-01-24 02:00,30
201,2019-01-24 03:00,37
201,2019-01-24 04:00,28
201,2019-01-24 05:00,32
201,2019-01-24 06:00,31
201,2019-01-24 07:00,23
201,2019-01-24 08:00,25
201,2019-01-24 09:00,25
201,2019-01-24 10:00,49
201,2019-01-24 11:00,48
201,2019-01-24 12:00,44
201,2019-01-24 13:00,29
201,2019-01-24 14:00,22
201,2019-01-24 15:00,27
201,2019-01-24 16:00,31
201,2019-01-24 17:00,38
201,2019-01-24 18:00,30
201,2019-01-24 19:00,26
201,2019-01-24 20:00,15
201,2019-01-24 21:00,26
201,2019-01-24 22:00,28
201,2019-01-24 23:00,19
201,2019-01-25 00:00,30
201,2019-01-25 01:00,33
201,2019-01-25 02:00,21
201,2019-01-25 03:00,25
201,2019-01-25 04:00,11
201,2019-01-25 05:00,21
201,2019-01-25 06:00,25
201,2019-01-25 07:00,31
201,2019-01-25 08:00,24
201,2019-01-25 09:00,24
201,2019-01-25 10:00,32
201,2019-01-25 11:00,44
201,2019-01-25 12:00,42
201,2019-01-25 13:00,50
201,2019-01-25 14:00,53
201,2019-01-25 15:00,62
201,2019-01-25 16:00,62
201,2019-01-25 17:00,81
201,2019-01-25 18:00,82
201,2019-01-25 19:00,81
201,2019-01-25 20:00,72
201,2019-01-25 21:00,80
201,2019-01-25 22:00,94
201,2019-01-25 23:00,60
201,2019-01-26 00:00,60
201,2019-01-26 01:00,51
201,2019-01-26 02:00,48
201,2019-01-26 03:00,44
201,2019-01-26 04:00,37
201,2019-01-26 05:00,43
201,2019-01-26 06:00,41
201,2019-01-26 07:00,40
201,2019-01-26 08:00,43
201,2019-01-26 09:00,45
201,2019-01-26 10:00,49
201,2019-01-26 11:00,48
201,2019-01-26 12:00,37
201,2019-01-26 13:00,45
201,2019-01-26 14:00,46
201,2019-01-26 15:00,43
201,2019-01-26 16:00,35
201,2019-01-26 17:00,42
201,2019-01-26 18:00,41
201,2019-01-26 19:00,41
201,2019-01-26 20:00,40
201,2019-01-26 21:00,42
201,2019-01-26 22:00,39
201,2019-01-26 23:00,27
201,2019-01-27 00:00,28
201,2019-01-27 01:00,29
201,2019-01-27 02:00,36
201,2019-01-27 03:00,37
201,2019-01-27 04:00,35
201,2019-01-27 05:00,20
201,2019-01-27 06:00,25
201,2019-01-27 07:00,23
201,2019-01-27 08:00,28
201,2019-01-27 09:00,52
201,2019-01-27 10:00,83
201,2019-01-27 11:00,64
201,2019-01-27 12:00,50
201,2019-01-27 13:00,34
201,2019-01-27 14:00,26
201,2019-01-27 15:00,20
201,2019-01-27 16:00,22
201,2019-01-27 17:00,17
201,2019-01-27 18:00,18
201,2019-01-27 19:00,17
201,2019-01-27 20:00,16
201,2019-01-27 21:00,20
201,2019-01-27 22:00,18
201,2019-01-27 23:00,19
201,2019-01-28 00:00,28
201,2019-01-28 01:00,34
201,2019-01-28 02:00,38
201,2019-01-28 03:00,32
201,2019-01-28 04:00,44
201,2019-01-28 05:00,58
201,2019-01-28 06:00,73
201,2019-01-28 07:00,85
201,2019-01-28 08:00,94
201,2019-01-28 09:00,83
201,2019-01-28 10:00,89
201,2019-01-28 11:00,117
201,2019-01-28 12:00,127
201,2019-01-28 13:00,133
201,2019-01-28 14:00,152
201,2019-01-28 15:00,114
201,2019-01-28 16:00,121
201,2019-01-28 17:00,118
201,2019-01-28 18:00,112
201,2019-01-28 19:00,109
201,2019-01-28 20:00,99
201,2019-01-28 21:00,89
201,2019-01-28 22:00,87
201,2019-01-28 23:00,78
201,2019-01-29 00:00,77
201,2019-01-29 01:00,72
201,2019-01-29 02:00,65
201,2019-01-29 03:00,64
201,2019-01-29 04:00,68
201,2019-01-29 05:00,69
201,2019-01-29 06:00,58
201,2019-01-29 07:00,49
201,2019-01-29 08:00,51
201,2019-01-29 09:00,64
201,2019-01-29 10:00,89
201,2019-01-29 11:00,69
201,2019-01-29 12:00,60
201,2019-01-29 13:00,44
201,2019-01-29 14:00,33
201,2019-01-29 15:00,51
201,2019-01-29 16:00,48
201,2019-01-29 17:00,48
201,2019-01-29 18:00,57
201,2019-01-29 19:00,57
201,2019-01-29 20:00,49
201,2019-01-29 21:00,38
201,2019-01-29 22:00,42
201,2019-01-29 23:00,46
201,2019-01-30 00:00,49
201,2019-01-30 01:00,57
201,2019-01-30 02:00,71
201,2019-01-30 03:00,60
201,2019-01-30 04:00,53
201,2019-01-30 05:00,46
201,2019-01-30 06:00,38
201,2019-01-30 07:00,41
201,2019-01-30 08:00,38
201,2019-01-30 09:00,48
201,2019-01-30 10:00,93
201,2019-01-30 11:00,83
201,2019-01-30 12:00,74
201,2019-01-30 13:00,46
201,2019-01-30 14:00,52
201,2019-01-30 15:00,51
201,2019-01-30 16:00,52
201,2019-01-30 17:00,50
201,2019-01-30 18:00,59
201,2019-01-30 19:00,69
201,2019-01-30 20:00,45
201,2019-01-30 21:00,46
201,2019-01-30 22:00,53
201,2019-01-30 23:00,74
201,2019-01-31 00:00,80
201,2019-01-31 01:00,69
201,2019-01-31 02:00,79
201,2019-01-31 03:00,67
201,2019-01-31 04:00,49
201,2019-01-31 05:00,51
201,2019-01-31 06:00,50
201,2019-01-31 07:00,50
201,2019-01-31 08:00,61
201,2019-01-31 09:00,77
201,2019-01-31 10:00,74
201,2019-01-31 11:00,71
201,2019-01-31 12:00,77
201,2019-01-31 13:00,78
201,2019-01-31 14:00,76
201,2019-01-31 15:00,81
201,2019-01-31 16:00,82
201,2019-01-31 17:00,86
201,2019-01-31 18:00,99
